id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;0.9999998;0.74178326;0.7897948;0.7632793;0.79271424;0.78053045;0.80158746;0.6449852;0.72766864;0.7311183;0.75671256;0.78105414;0.6384903;0.77439606;0.77257335;0.663843;0.7345807;0.77229977;0.7516192;0.76123154;0.72823435;0.6567819;0.7628869;0.7825277;0.6875267;0.6149179;0.68830466;0.759441;0.59464645;0.7266718;0.7108603
cs.AR;0.74178326;1.0;0.7186769;0.6960801;0.7277262;0.78086257;0.7162252;0.7579701;0.697639;0.7744665;0.81003094;0.7219391;0.7753955;0.7816589;0.66315246;0.60658956;0.79268;0.8145162;0.7814108;0.81491613;0.8254545;0.8231191;0.75175655;0.83984774;0.8395681;0.76071674;0.7457559;0.73592114;0.7204733;0.8576546;0.79510415
cs.CC;0.7897948;0.7186769;1.0000004;0.9252991;0.91780794;0.77677083;0.7702999;0.562207;0.82528925;0.6226837;0.76730096;0.7942047;0.5351919;0.7948054;0.7573911;0.6362083;0.6910881;0.6852561;0.7541845;0.78327;0.6968231;0.59009355;0.7946339;0.7832133;0.62777656;0.558522;0.595726;0.9157016;0.4861182;0.6881026;0.6556446
cs.CG;0.7632793;0.6960801;0.9252991;0.9999998;0.8883232;0.7524452;0.76804584;0.5731454;0.80231863;0.62575614;0.74845636;0.7603898;0.5587636;0.7743982;0.7029161;0.640949;0.6616793;0.655591;0.74381936;0.76020235;0.68588823;0.5976163;0.7870815;0.7539437;0.6057066;0.5434226;0.5908315;0.9167958;0.47830898;0.68545616;0.64053506
cs.CL;0.79271424;0.7277262;0.91780794;0.8883232;1.0000002;0.8144038;0.8453922;0.60514;0.8306478;0.6685226;0.800435;0.8496141;0.6014459;0.8278098;0.7767583;0.64461994;0.73196155;0.710641;0.79749876;0.7776542;0.70671356;0.6255812;0.8004243;0.80732226;0.6506067;0.6360961;0.6207232;0.9132719;0.53610337;0.7040794;0.72214425
cs.CR;0.78053045;0.78086257;0.77677083;0.7524452;0.8144038;1.0;0.8126313;0.6536161;0.795529;0.7043866;0.7751111;0.7613675;0.64754164;0.83246285;0.7297062;0.66117644;0.7659845;0.72800326;0.8033006;0.78756523;0.7264409;0.65862906;0.7799802;0.85756993;0.7052835;0.6503221;0.67396516;0.781981;0.58485436;0.74881244;0.77613187
cs.CV;0.80158746;0.7162252;0.7702999;0.76804584;0.8453922;0.8126313;0.99999976;0.57621;0.7978548;0.6661664;0.7576108;0.8044405;0.6242393;0.8210883;0.7883848;0.6347633;0.6842283;0.7175852;0.8056953;0.7796772;0.6891551;0.60691684;0.7887702;0.80150425;0.65864015;0.5993942;0.6356501;0.80349815;0.5743376;0.68593764;0.73801744
cs.DB;0.6449852;0.7579701;0.562207;0.5731454;0.60514;0.6536161;0.57621;1.0000001;0.56305784;0.8110575;0.6910958;0.5759244;0.8691751;0.62500143;0.54529804;0.59646094;0.79384387;0.81923324;0.66990924;0.67519635;0.77651244;0.8178767;0.64579916;0.70607567;0.78197956;0.83320594;0.7657777;0.6125292;0.7656213;0.75898254;0.78652704
cs.DC;0.72766864;0.697639;0.82528925;0.80231863;0.8306478;0.795529;0.7978548;0.56305784;1.0000001;0.61569124;0.735794;0.78384143;0.5371164;0.7570915;0.7627837;0.60960805;0.6452317;0.6546955;0.73317116;0.7797847;0.68031204;0.5519197;0.7296502;0.8043845;0.6007342;0.5493319;0.5622306;0.8213282;0.49364704;0.6327495;0.6728736
cs.DL;0.7311183;0.7744665;0.6226837;0.62575614;0.6685226;0.7043866;0.6661664;0.8110575;0.61569124;0.9999998;0.74007946;0.62811315;0.7918594;0.70953727;0.61044735;0.6207345;0.77495515;0.8245698;0.7207204;0.7139057;0.79848254;0.75689983;0.66701263;0.7651598;0.7507024;0.76147044;0.75892454;0.64669466;0.7240534;0.78516847;0.77183163
cs.DM;0.75671256;0.81003094;0.76730096;0.74845636;0.800435;0.7751111;0.7576108;0.6910958;0.735794;0.74007946;1.0;0.7968738;0.7139449;0.8385452;0.6936091;0.60000026;0.8059277;0.7725409;0.8290582;0.7752105;0.79140836;0.7546492;0.7820023;0.7914039;0.7123263;0.71916175;0.69837606;0.794935;0.65688205;0.7468919;0.75274134
cs.FL;0.78105414;0.7219391;0.7942047;0.7603898;0.8496141;0.7613675;0.8044405;0.5759244;0.78384143;0.62811315;0.7968738;1.0000002;0.55659074;0.8463386;0.76854336;0.58900213;0.754649;0.6802057;0.8235917;0.72880274;0.6600385;0.62383634;0.80594265;0.8041088;0.6081358;0.6454449;0.6131252;0.8083722;0.5065774;0.66213274;0.6742914
cs.GR;0.6384903;0.7753955;0.5351919;0.5587636;0.6014459;0.64754164;0.6242393;0.8691751;0.5371164;0.7918594;0.7139449;0.55659074;0.99999976;0.6457725;0.5423753;0.5189868;0.80416644;0.85379934;0.69474185;0.69138473;0.8080902;0.87265646;0.6347112;0.70666397;0.8164943;0.85888875;0.8373258;0.6113313;0.86977816;0.79454815;0.835304
cs.GT;0.77439606;0.7816589;0.7948054;0.7743982;0.8278098;0.83246285;0.8210883;0.62500143;0.7570915;0.70953727;0.8385452;0.8463386;0.6457725;1.0000002;0.7597045;0.6518754;0.8001228;0.77144426;0.8954435;0.76834065;0.7471097;0.6861433;0.7842114;0.84635556;0.70549196;0.6863528;0.7353779;0.77877504;0.56927437;0.7801101;0.7581651
cs.HC;0.77257335;0.66315246;0.7573911;0.7029161;0.7767583;0.7297062;0.7883848;0.54529804;0.7627837;0.61044735;0.6936091;0.76854336;0.5423753;0.7597045;1.0000002;0.6252512;0.65879977;0.6732409;0.72100914;0.74751353;0.70354307;0.5411581;0.7009959;0.7742751;0.61764014;0.54288965;0.6131917;0.7202486;0.50400656;0.630608;0.6700363
cs.IR;0.663843;0.60658956;0.6362083;0.640949;0.64461994;0.66117644;0.6347633;0.59646094;0.60960805;0.6207345;0.60000026;0.58900213;0.5189868;0.6518754;0.6252512;0.99999964;0.6192018;0.5897035;0.5822396;0.6365328;0.63474786;0.52172536;0.6155076;0.64579856;0.55779755;0.5146325;0.5557646;0.61150134;0.47018605;0.6235831;0.5571823
cs.IT;0.7345807;0.79268;0.6910881;0.6616793;0.73196155;0.7659845;0.6842283;0.79384387;0.6452317;0.77495515;0.8059277;0.754649;0.80416644;0.8001228;0.65879977;0.6192018;0.9999999;0.8709798;0.8367256;0.7419807;0.77692354;0.8157653;0.7391559;0.81492007;0.77498364;0.86132085;0.7830831;0.6898079;0.7156187;0.80470806;0.8392341
cs.LG;0.77229977;0.8145162;0.6852561;0.655591;0.710641;0.72800326;0.7175852;0.81923324;0.6546955;0.8245698;0.7725409;0.6802057;0.85379934;0.77144426;0.6732409;0.5897035;0.8709798;0.9999996;0.80721045;0.77560437;0.83450055;0.84422684;0.7194469;0.8080165;0.8077073;0.86178327;0.8501538;0.68340015;0.75787914;0.8571027;0.8474537
cs.LO;0.7516192;0.7814108;0.7541845;0.74381936;0.79749876;0.8033006;0.8056953;0.66990924;0.73317116;0.7207204;0.8290582;0.8235917;0.69474185;0.8954435;0.72100914;0.5822396;0.8367256;0.80721045;1.0;0.75995386;0.7308415;0.7313652;0.76167655;0.8384744;0.709359;0.7369466;0.7262423;0.76212895;0.5980965;0.7833399;0.7775476
cs.MA;0.76123154;0.81491613;0.78327;0.76020235;0.7776542;0.78756523;0.7796772;0.67519635;0.7797847;0.7139057;0.7752105;0.72880274;0.69138473;0.76834065;0.74751353;0.6365328;0.7419807;0.77560437;0.75995386;1.0;0.841184;0.7073201;0.7572123;0.8420027;0.79404974;0.6651953;0.69387305;0.79246944;0.65041685;0.7768638;0.79052186
