id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.MA;0.86667407;0.9950688;0.9839471;0.9796767;0.9900946;0.9877012;0.98854536;0.988669;0.9940785;0.94880337;0.9872029;0.9902514;0.99391705;0.99048376;0.9759151;0.76624054;0.9831712;0.95879745;0.9807596;0.9999999;0.9941245;0.99216664;0.98739123;0.99340534;0.9953542;0.9913168;0.96772146;0.9900129;0.9920036;0.99443346;0.9253527
cs.MM;0.8774063;0.99274933;0.983367;0.9828966;0.98831475;0.9869137;0.9879024;0.9895777;0.9905579;0.95723414;0.99043155;0.99132705;0.9937635;0.98741;0.9789425;0.74529153;0.9861553;0.96613544;0.98353124;0.9941245;1.0000001;0.9917706;0.98748624;0.9906137;0.9880816;0.99053293;0.95851433;0.9902877;0.99142873;0.990556;0.9331353
cs.MS;0.8797654;0.9963334;0.9806724;0.9807112;0.98844385;0.9870819;0.98898447;0.9922319;0.99183154;0.95454884;0.99435365;0.99185294;0.993537;0.98646575;0.97197646;0.7521318;0.9842045;0.9659498;0.98671865;0.99216664;0.9917706;1.0000001;0.98803794;0.988924;0.9899398;0.99003464;0.95663464;0.99036956;0.9933694;0.98872817;0.93399465
cs.NA;0.8997996;0.9879332;0.9930342;0.9947545;0.99466485;0.9940011;0.99363494;0.98411965;0.99216855;0.9709394;0.9912768;0.9940189;0.9835212;0.9857073;0.9874767;0.7326124;0.99614704;0.97630376;0.99325764;0.98739123;0.98748624;0.98803794;0.9999999;0.98574585;0.98211944;0.99419075;0.94370675;0.9973388;0.9811594;0.99095243;0.9506135
cs.NI;0.851387;0.9941586;0.9808594;0.9759742;0.98997116;0.9864274;0.9852597;0.9887091;0.9943236;0.9374713;0.9834851;0.9920609;0.9915514;0.9940084;0.9741729;0.7881739;0.98185617;0.9476135;0.97678494;0.99340534;0.9906137;0.988924;0.98574585;0.99999964;0.99203926;0.9898325;0.9744613;0.986129;0.9865891;0.99118614;0.91295385
cs.OS;0.85129535;0.99349624;0.97613037;0.9726326;0.98502976;0.98370737;0.9834778;0.9900272;0.99058974;0.9348756;0.9833781;0.9864823;0.9947835;0.9906034;0.9679512;0.7992252;0.9760056;0.9445778;0.97261;0.9953542;0.9880816;0.9899398;0.98211944;0.99203926;0.99999976;0.9866898;0.97700506;0.9838254;0.9896997;0.9919946;0.9112943
cs.PL;0.88449633;0.9898084;0.9887223;0.99098;0.9939208;0.99391294;0.9929714;0.9863624;0.99429524;0.96149355;0.9899868;0.99437815;0.98832774;0.9904312;0.9821774;0.7476252;0.9936641;0.9693475;0.98983026;0.9913168;0.99053293;0.99003464;0.99419075;0.9898325;0.9866898;1.0;0.955793;0.9944467;0.986586;0.9933877;0.9400819
cs.RO;0.76730645;0.9634733;0.9321105;0.92763925;0.95001495;0.9494139;0.9424528;0.9665997;0.96132106;0.86739266;0.94130373;0.9528154;0.97410613;0.9760854;0.9213388;0.87007815;0.9351521;0.8815619;0.92581916;0.96772146;0.95851433;0.95663464;0.94370675;0.9744613;0.97700506;0.955793;0.99999994;0.9413537;0.96424145;0.96653557;0.839769
cs.SC;0.9039266;0.9905694;0.99492645;0.99526227;0.99496675;0.9939502;0.9948174;0.9843228;0.9930111;0.9728482;0.9940213;0.99382603;0.9853493;0.98393726;0.9884171;0.71966636;0.99535996;0.9803821;0.99435806;0.9900129;0.9902877;0.99036956;0.9973388;0.986129;0.9838254;0.9944467;0.9413537;1.0;0.98373806;0.9907333;0.9532738
cs.SD;0.8668272;0.9917026;0.9754089;0.9743581;0.9847388;0.98430014;0.9857956;0.9883833;0.9879482;0.94506216;0.9875649;0.98604965;0.9951327;0.9848616;0.96865153;0.76990825;0.9777137;0.9576499;0.97955257;0.9920036;0.99142873;0.9933694;0.9811594;0.9865891;0.9896997;0.986586;0.96424145;0.98373806;1.0000002;0.9887488;0.9233802
cs.SE;0.8719013;0.9908706;0.9854874;0.9843043;0.9915534;0.9907658;0.9895932;0.9864417;0.9942019;0.9541434;0.98663366;0.98995864;0.9916781;0.9918077;0.97728896;0.7705851;0.9861452;0.96050847;0.98381966;0.99443346;0.990556;0.98872817;0.99095243;0.99118614;0.9919946;0.9933877;0.96653557;0.9907333;0.9887488;1.0;0.9286976
cs.SY;0.98496413;0.9273552;0.9533238;0.9625249;0.9410491;0.94625825;0.94936574;0.9179355;0.9304458;0.98862934;0.9496281;0.93489444;0.9179338;0.9077537;0.9538423;0.56577665;0.9558492;0.98448867;0.9632673;0.9253527;0.9331353;0.93399465;0.9506135;0.91295385;0.9112943;0.9400819;0.839769;0.9532738;0.9233802;0.9286976;1.0000004
