id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0000002;0.86174536;0.9928219;0.7678157;0.9889382;0.99332356;0.98866606;0.9829147;0.95802486;0.9831206;0.99436355;0.9893421;0.99269265;0.99373245;0.98806196;0.9787891;0.89493465;0.97872686;0.9963695;0.99020934;0.97856224;0.8507899;0.99095285;0.9516909;0.97568065;0.983647;0.9942721;0.9843122;0.94131213;0.7691543;0.9617814
cs.AR;0.86174536;0.99999976;0.8929992;0.96450984;0.83978516;0.88069;0.8243383;0.7986621;0.748008;0.8028116;0.83028126;0.81591856;0.82913816;0.84123385;0.8165024;0.93385845;0.99113876;0.7927716;0.84995824;0.83329207;0.7869528;0.98811144;0.81809074;0.7331898;0.7775771;0.8016174;0.82842463;0.8106146;0.97551656;0.9746063;0.75623196
cs.CC;0.9928219;0.8929992;1.0;0.80691457;0.9853838;0.9924068;0.9805191;0.9697401;0.9433063;0.9724929;0.98509634;0.97936463;0.982594;0.98647577;0.9770199;0.98813695;0.9197218;0.96681964;0.9915125;0.9828972;0.9647013;0.87889564;0.97959256;0.93473154;0.96028715;0.9716704;0.98199916;0.97546315;0.9593756;0.8083553;0.94613814
cs.CG;0.7678157;0.96450984;0.80691457;0.99999976;0.73106146;0.78415203;0.72101265;0.6843316;0.62318355;0.6886177;0.72558916;0.71072465;0.7303804;0.7495471;0.712209;0.85592675;0.9526;0.67809576;0.7520174;0.7294277;0.66831166;0.9738807;0.71493506;0.6096168;0.659417;0.6863414;0.732432;0.7020285;0.9118054;0.9816652;0.6283972
cs.CL;0.9889382;0.83978516;0.9853838;0.73106146;0.9999998;0.9892821;0.9933244;0.99095374;0.97487974;0.99230325;0.9916115;0.9912506;0.98990965;0.9865835;0.99047846;0.9642619;0.8665252;0.98947215;0.9911003;0.99441177;0.98823965;0.82044846;0.98708105;0.9666966;0.98352385;0.9907266;0.9838648;0.9914162;0.9252165;0.73821855;0.9780325
cs.CR;0.99332356;0.88069;0.9924068;0.78415203;0.9892821;0.99999976;0.9824351;0.97412753;0.94416535;0.974661;0.9841678;0.9789825;0.9837805;0.98369443;0.9796312;0.98644626;0.90438145;0.96979475;0.98848015;0.9865898;0.96749514;0.8652441;0.97800577;0.93376505;0.9616705;0.9742712;0.97982;0.97614336;0.953663;0.7941116;0.9492638
cs.CV;0.98866606;0.8243383;0.9805191;0.72101265;0.9933244;0.9824351;1.0;0.99604815;0.9842081;0.9962285;0.99394524;0.9971039;0.9977089;0.9946258;0.99842715;0.9575933;0.8564849;0.9961388;0.9919216;0.9987806;0.9928603;0.8103549;0.99317396;0.97958374;0.9910272;0.9952976;0.9887836;0.99830663;0.91359603;0.71945196;0.984321
cs.DB;0.9829147;0.7986621;0.9697401;0.6843316;0.99095374;0.97412753;0.99604815;1.0;0.9921056;0.99860466;0.99275154;0.99594826;0.9941261;0.9879557;0.99660325;0.94190526;0.83334076;0.99872077;0.9870774;0.9952754;0.9986787;0.7838882;0.9929692;0.98790437;0.99598265;0.99770117;0.98702776;0.9976964;0.8942241;0.6860871;0.9923377
cs.DC;0.95802486;0.748008;0.9433063;0.62318355;0.97487974;0.94416535;0.9842081;0.9921056;0.9999999;0.9913207;0.9775515;0.9853898;0.97875565;0.97045755;0.98507714;0.9043884;0.7851455;0.9948543;0.9675463;0.9804878;0.99394894;0.7308452;0.97968864;0.9984375;0.993878;0.98987377;0.9698099;0.9900024;0.85112935;0.6223685;0.99626213
cs.DL;0.9831206;0.8028116;0.9724929;0.6886177;0.99230325;0.974661;0.9962285;0.99860466;0.9913207;1.0;0.99357414;0.99616486;0.99369377;0.98848855;0.99630195;0.94414926;0.83638227;0.9983542;0.9888746;0.99551415;0.99816275;0.7865268;0.99322975;0.98692006;0.99616015;0.9983263;0.9869399;0.99800354;0.89711446;0.68997264;0.9928745
