id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;0.9999999;0.059864167;0.3599759;0.086392075;0.07416525;0.19056804;0.597426;0.71936846;0.13722879;0.18442926;0.097497985;0.1545616;-0.09536515;0.22507246;0.37576106;0.7460123;0.15564007;0.74840397;0.08300773;0.12769067;0.052062925;0.04593618;0.064380616;0.0007043183;0.13510828;0.61239445;0.4018371;0.0671202;0.008949969;0.29745236;0.02231168
cs.AR;0.059864167;0.99999976;0.03430804;-0.0028331913;-0.012884821;-0.029640228;0.078291744;0.12768246;0.05206585;-0.031087577;-0.033838872;0.04748748;0.10017813;0.1722763;0.026453048;-0.002039615;-0.022689048;0.121261664;0.05137428;0.057760447;0.107032746;-0.0712678;-0.07016349;-0.08512422;0.017768152;0.06330298;0.03162895;-0.06314047;-0.049555477;0.101530254;-0.0029909797
cs.CC;0.3599759;0.03430804;1.0;0.03785265;-0.025331631;0.1921636;0.3964215;0.611717;0.066887945;0.26173663;0.06800434;0.00043187244;-0.001794751;0.045116298;0.22573821;0.42229044;0.073263556;0.37624335;0.06530999;0.053630352;0.08633934;0.02343171;0.045571946;-0.05438188;0.14937581;0.43390736;0.2744801;0.03259291;0.01330453;0.14118946;0.044487797
cs.CG;0.086392075;-0.0028331913;0.03785265;1.0000001;0.019236015;-0.015935399;0.049016237;0.03632576;0.04675762;-0.057238273;-0.027740646;0.17772184;-0.02294012;-0.12994732;0.034267787;0.044372216;-0.12003665;0.06243214;0.15459967;0.046835087;0.050981194;-0.012001809;0.016244553;-0.0798078;0.07960331;0.084980614;-0.059734154;0.083425745;0.07398553;0.1261667;-0.078828424
cs.CL;0.07416525;-0.012884821;-0.025331631;0.019236015;1.0;0.089219004;0.011677746;0.020353839;0.04208685;-0.005418455;0.0032458268;0.08132113;0.016273702;-0.01860507;0.0059861653;0.02872258;-0.031193612;0.039251044;-0.041279104;0.031464364;-0.090214;-0.01744361;-0.056153134;0.04786701;-0.100592114;-0.005013901;0.0130601525;-0.029975433;0.042924438;0.059272338;-0.021484759
cs.CR;0.19056804;-0.029640228;0.1921636;-0.015935399;0.089219004;1.0000001;0.22257426;0.18635875;0.040821496;0.32752672;0.07848892;-0.08533288;-0.07748289;0.16200909;0.30014873;0.16039221;0.15681264;0.16183577;0.06839479;0.006348565;-0.19914272;-0.00044950843;0.09531292;0.007961253;0.25620145;0.061200846;0.17367314;0.014779607;0.031082809;-0.03959801;-0.025536817
cs.CV;0.597426;0.078291744;0.3964215;0.049016237;0.011677746;0.22257426;0.9999999;0.52868265;0.08620541;-0.031142095;-0.011562737;-0.014301291;-0.028771272;0.09671758;0.48014033;0.5544392;0.30442685;0.58980215;0.04696709;0.24754524;0.004961269;0.09574471;0.08776127;0.0508191;0.12582383;0.5677751;0.2681932;0.09518555;-0.021476377;0.3531121;0.082808
cs.DB;0.71936846;0.12768246;0.611717;0.03632576;0.020353839;0.18635875;0.52868265;1.0000001;0.13946904;0.30355477;-0.009818751;0.07000546;-0.07938153;0.188267;0.2414084;0.7491888;0.08892224;0.7626888;0.09384904;0.117466226;0.038236827;0.06307974;0.08768474;0.0013754554;0.17883928;0.65048814;0.40647063;0.023326665;0.020830048;0.2985072;-0.05129639
cs.DC;0.13722879;0.05206585;0.066887945;0.04675762;0.04208685;0.040821496;0.08620541;0.13946904;1.0000005;-0.06284241;0.06658512;0.107178375;-0.043214936;0.08577078;-0.069101095;0.15902105;-0.042790864;0.08747484;0.007943321;0.19773746;-0.0070394417;-0.03903531;0.09805511;-0.04615376;-0.014603989;0.04179701;0.118165776;-0.35878223;0.17848021;0.087377995;-0.019245941
cs.DL;0.18442926;-0.031087577;0.26173663;-0.057238273;-0.005418455;0.32752672;-0.031142095;0.30355477;-0.06284241;0.9999999;0.021452848;-0.056280285;-0.06409669;0.24964058;0.011928637;0.14396064;0.0052259155;0.17081144;0.050059095;-0.062875815;-0.06754598;0.02685868;0.051132485;0.057716038;0.27963257;-0.020562405;0.29856426;0.12726216;-0.012267321;-0.21786295;-0.046343945
