id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0000002;0.37048382;0.4295065;0.4803501;0.3574829;0.29496178;0.42831895;0.21029916;0.33461186;0.19247632;0.4197224;0.24511619;0.3790489;0.3737132;0.3273769;0.26068336;0.37352628;0.35011628;0.27576265;0.29809144;0.29763955;0.39313835;0.2801882;0.33194023;0.34266114;0.29917318;0.40607914;0.35873014;0.2756672;0.32726502;0.28491405
cs.AR;0.37048382;1.0;0.39355052;0.47328493;0.28551272;0.30180314;0.4071461;0.17916822;0.26101878;0.08845527;0.2939585;0.29924762;0.31541988;0.41324168;0.2384569;0.21647054;0.26791644;0.2847093;0.42551363;0.077413894;0.1548545;0.37461776;0.23331265;0.4581866;0.29852644;0.1636647;0.2603429;0.30380848;0.2114011;0.3123494;0.3555977
cs.CC;0.4295065;0.39355052;1.0;0.7475468;0.6882423;0.31041473;0.5053719;0.31861418;0.586532;0.18976332;0.5186851;0.3630825;0.42954582;0.5024312;0.38967067;0.22407831;0.24021716;0.319213;0.4094606;0.19325948;0.27598783;0.47927985;0.29877478;0.37510633;0.32942218;0.2520921;0.28890762;0.4016866;0.29291165;0.31844142;0.27906626
cs.CG;0.4803501;0.47328493;0.7475468;0.99999964;0.7042763;0.35075352;0.5930579;0.28801045;0.48500136;0.17368217;0.65838987;0.45791414;0.4598829;0.49482626;0.31341642;0.22877175;0.27477187;0.35471913;0.46035713;0.12894925;0.17186683;0.6322871;0.3773138;0.34206578;0.3323521;0.29761884;0.3870331;0.50871193;0.26161972;0.32695362;0.2962394
cs.CL;0.3574829;0.28551272;0.6882423;0.7042763;1.0;0.29405427;0.5216348;0.29504457;0.49933994;0.22142436;0.45645124;0.5045599;0.398805;0.50159967;0.37798047;0.14630893;0.2133247;0.38696364;0.43717736;0.20526244;0.24031611;0.495987;0.39355144;0.2993223;0.32115626;0.53364086;0.25925606;0.45802012;0.30292937;0.2663163;0.26679936
cs.CR;0.29496178;0.30180314;0.31041473;0.35075352;0.29405427;1.0000002;0.36990866;0.20615543;0.3266245;0.2250514;0.36785576;0.1652226;0.23966706;0.32685727;0.18064669;0.24266617;0.24056068;0.24117696;0.33792242;0.15920211;0.123727806;0.29208162;0.30621332;0.3484057;0.31513926;0.18702486;0.25249696;0.41418457;0.24846864;0.08362506;0.33064103
cs.CV;0.42831895;0.4071461;0.5053719;0.5930579;0.5216348;0.36990866;0.99999976;0.3024011;0.42775095;0.24233547;0.3866489;0.42240268;0.45081824;0.56386447;0.44818595;0.25537008;0.3012112;0.45359153;0.46104044;0.12980092;0.21335974;0.46131924;0.25844452;0.39370054;0.3541504;0.4105096;0.22997475;0.4533126;0.26890662;0.31286258;0.35361797
cs.DB;0.21029916;0.17916822;0.31861418;0.28801045;0.29504457;0.20615543;0.3024011;1.0;0.35674292;0.31609353;0.3605827;0.1760172;0.27558103;0.28365463;0.13884729;0.21193428;0.3587238;0.25871554;0.16329376;0.37306064;0.39630187;0.32700196;0.43486005;0.18382743;0.23901568;0.2955109;0.069666095;0.3568142;0.17265868;0.15623327;0.22660348
cs.DC;0.33461186;0.26101878;0.586532;0.48500136;0.49933994;0.3266245;0.42775095;0.35674292;1.0;0.26518467;0.38059068;0.18294144;0.29690403;0.44579434;0.3140985;0.22092599;0.30117223;0.23283988;0.36295354;0.24966662;0.33756608;0.2863721;0.25945333;0.47061324;0.40748405;0.273397;0.22110936;0.35654783;0.19588776;0.22211607;0.4221956
cs.DL;0.19247632;0.08845527;0.18976332;0.17368217;0.22142436;0.2250514;0.24233547;0.31609353;0.26518467;1.0;0.15685527;0.056343433;0.32393444;0.21485092;0.1288746;0.2377667;0.25238842;0.13968495;0.29730502;0.18923104;0.23593524;0.08451313;0.02983306;0.23416291;0.22610034;0.3591291;0.1134567;0.12331758;0.20391418;0.09826049;0.19435962
