id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.IR;0.7596762;0.38999778;0.32544386;0.33222002;0.17458656;0.31611964;0.61046326;0.65703;0.41730127;0.41273487;0.09732745;0.39650762;-0.048711225;0.48122573;0.6392427;1.0;0.44715494;0.7410647;0.45011422;0.46537977;0.42751342;0.24048445;0.43448466;0.24337557;0.35704285;0.49881;0.58796036;0.40896395;0.15296948;0.6624759;-0.062042303
cs.IT;0.46675277;0.4747085;0.38822305;0.35988742;0.33569974;0.22478224;0.31143665;0.36159444;0.36683464;0.1273327;-0.06379199;0.2744552;-0.004279612;0.49748975;0.22087654;0.44715494;0.9999999;0.5749589;0.24500307;0.3115548;0.20402619;0.15264837;0.46885115;0.23238409;0.3350305;0.3045339;0.33963773;0.13460794;0.13464709;0.40563422;-0.1099653
cs.LG;0.7938493;0.58019793;0.45630276;0.4335945;0.18147272;0.386974;0.60001624;0.67331386;0.43966705;0.32390666;0.09258687;0.42753696;-0.09252452;0.6080458;0.5222162;0.7410647;0.5749589;1.0000002;0.4302442;0.4939388;0.36630002;0.3082685;0.5502112;0.17808297;0.39580774;0.4542151;0.58161074;0.34018004;0.15982287;0.6115139;-0.07784761
cs.LO;0.50454557;0.268593;0.23067617;0.14080292;0.15497884;0.25760075;0.3114183;0.43007627;0.23209822;0.23418781;0.121227905;0.5164686;-0.09482947;0.39365408;0.40301055;0.45011422;0.24500307;0.4302442;0.9999999;0.4147125;0.286115;0.171206;0.24518648;-0.006908387;0.28731716;0.47996396;0.39141566;0.32336903;0.029780583;0.39988256;-0.05605429
cs.MA;0.5513885;0.33175865;0.31418797;0.30322492;0.20047204;0.40209997;0.34731793;0.4519669;0.37334543;0.28264314;0.06534299;0.3893996;-0.016497057;0.5879463;0.37240338;0.46537977;0.3115548;0.4939388;0.4147125;1.0000002;0.3219043;0.29680055;0.33049285;0.20642759;0.33291316;0.41695818;0.48958072;0.40297294;0.21850699;0.54883426;-0.10455531
cs.MM;0.524289;0.14277598;0.19876647;0.1581825;0.015563264;0.36648262;0.531366;0.2926222;0.37810886;0.04624585;0.28361493;0.1682385;-0.29459247;0.28035232;0.50502247;0.42751342;0.20402619;0.36630002;0.286115;0.3219043;0.9999999;0.19439474;0.32041198;-0.024663016;0.13949145;0.2173789;0.5419891;0.3594169;0.21848056;0.5506065;-0.046129562
cs.MS;0.3588971;0.24223846;0.20029151;0.1989156;0.36502784;0.25061333;0.2492404;0.32152605;0.2429856;0.10325882;0.0151067525;0.3434922;-0.01905436;0.2650497;0.2964448;0.24048445;0.15264837;0.3082685;0.171206;0.29680055;0.19439474;1.0000001;0.22893378;0.09092126;0.3122538;0.41461676;0.24001203;0.0019928552;-0.11129768;0.4397088;-0.23783475
cs.NA;0.52323735;0.3859489;0.33849373;0.4163555;0.102843985;0.31338698;0.4559897;0.3944435;0.28385532;0.111986056;0.06667037;0.3766395;-0.24699597;0.28046864;0.3227103;0.43448466;0.46885115;0.5502112;0.24518648;0.33049285;0.32041198;0.22893378;1.0;-0.08675853;0.35167176;0.31005847;0.4176376;0.24051657;0.12315086;0.4525493;-0.027862541
cs.NI;0.21725604;0.090297915;0.03644238;0.14791313;0.21458635;0.11956251;0.09755555;0.20611963;0.10646648;0.21900871;-0.20875755;-0.0338948;0.06074392;0.29669112;0.17894743;0.24337557;0.23238409;0.17808297;-0.006908387;0.20642759;-0.024663016;0.09092126;-0.08675853;0.9999998;0.06512441;0.12233153;0.1074557;0.17494024;-0.12488845;0.28200573;-0.122474834
cs.OS;0.37759858;0.41724217;0.22484984;0.29055482;0.35097176;0.45014936;0.27237827;0.5770996;0.34158152;0.45527536;-0.13462506;0.37713683;0.09089902;0.40394574;0.3531661;0.35704285;0.3350305;0.39580774;0.28731716;0.33291316;0.13949145;0.3122538;0.35167176;0.06512441;0.9999998;0.50968385;0.31070602;0.12092455;0.04975171;0.35912886;-0.31176174
cs.PL;0.5111935;0.32904458;0.25238305;0.2854975;0.33857828;0.4021562;0.31469023;0.55954206;0.37253517;0.4053629;-0.04498843;0.63179415;0.070013225;0.35421544;0.38761383;0.49881;0.3045339;0.4542151;0.47996396;0.41695818;0.2173789;0.41461676;0.31005847;0.12233153;0.50968385;0.9999999;0.40114617;0.2338677;0.055593874;0.5463256;-0.18317506
cs.RO;0.84903526;0.38108712;0.4300726;0.3054769;0.13276023;0.46958447;0.8514369;0.55716807;0.6033775;0.17957768;0.21270949;0.2956977;-0.113832675;0.48925787;0.72865856;0.58796036;0.33963773;0.58161074;0.39141566;0.48958072;0.5419891;0.24001203;0.4176376;0.1074557;0.31070602;0.40114617;1.0000002;0.5746131;0.22790451;0.6519757;-0.010488741
cs.SC;0.5357828;0.2424566;0.31478867;0.13739185;-0.05009733;0.27092043;0.46994537;0.27043688;0.33057898;0.055923223;0.08172627;0.13700639;-0.071916;0.40001425;0.4701973;0.40896395;0.13460794;0.34018004;0.32336903;0.40297294;0.3594169;0.0019928552;0.24051657;0.17494024;0.12092455;0.2338677;0.5746131;0.9999998;0.32785186;0.44926414;0.046338037
cs.SD;0.1887416;-0.11130237;0.041250836;0.20946321;-0.18525004;0.07476294;0.07886313;0.115175456;0.15376279;0.128396;0.2362415;0.18924727;-0.012705634;0.09777581;0.058473483;0.15296948;0.13464709;0.15982287;0.029780583;0.21850699;0.21848056;-0.11129768;0.12315086;-0.12488845;0.04975171;0.055593874;0.22790451;0.32785186;0.9999998;0.12419741;0.07775648
cs.SE;0.8004406;0.3425675;0.35786432;0.381055;0.20031539;0.4967701;0.57869565;0.5202127;0.48135138;0.26063824;0.13080758;0.4123667;-0.05628749;0.59114265;0.60669196;0.6624759;0.40563422;0.6115139;0.39988256;0.54883426;0.5506065;0.4397088;0.4525493;0.28200573;0.35912886;0.5463256;0.6519757;0.44926414;0.12419741;1.0;0.023011457
cs.SY;-0.00838431;-0.11944245;0.009010065;0.009900976;-0.32826108;-0.04251163;0.08871703;-0.15039998;-0.06822135;-0.15563157;0.022373265;-0.11232514;-0.029864445;-0.107118964;0.07230902;-0.062042303;-0.1099653;-0.07784761;-0.05605429;-0.10455531;-0.046129562;-0.23783475;-0.027862541;-0.122474834;-0.31176174;-0.18317506;-0.010488741;0.046338037;0.07775648;0.023011457;1.0000002
