id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;0.9999999;0.8719709;0.9094158;0.9219918;0.8745749;0.8853578;0.92159307;0.88651556;0.88319665;0.8499601;0.91801107;0.88982564;0.91350687;0.90456724;0.90949154;0.8775137;0.91636616;0.9086439;0.9127831;0.9283969;0.8764852;0.8289844;0.91444874;0.89251214;0.89318496;0.92294216;0.9327409;0.9010853;0.83667976;0.8211349;0.86299235
cs.AR;0.8719709;1.0000001;0.8645279;0.85175455;0.87231594;0.86622775;0.8803112;0.9026121;0.8841169;0.85958487;0.8527941;0.87211883;0.86830175;0.82372326;0.8612069;0.88142186;0.8375537;0.8900246;0.8398789;0.89898705;0.84210265;0.7986046;0.8619638;0.88441133;0.8577048;0.9012707;0.8394975;0.8690352;0.8362213;0.88085103;0.8783674
cs.CC;0.9094158;0.8645279;1.0000001;0.93279415;0.8625689;0.8623921;0.91049105;0.87376016;0.8989191;0.8345296;0.9156048;0.91795015;0.88726044;0.89978975;0.8967223;0.8520215;0.9100366;0.88595134;0.8996719;0.8918582;0.84001744;0.8343189;0.9109602;0.88101715;0.8890458;0.9103379;0.8819335;0.9239564;0.8201212;0.812607;0.8480036
cs.CG;0.9219918;0.85175455;0.93279415;1.0;0.8694792;0.86224586;0.9296219;0.87407863;0.8768829;0.84540576;0.9395086;0.9087708;0.9397926;0.9189118;0.9095878;0.85643435;0.9313743;0.8981624;0.8991368;0.90224296;0.86243683;0.8410472;0.93353695;0.8795128;0.87822413;0.9054091;0.9123041;0.92566645;0.82358843;0.8128756;0.85438657
cs.CL;0.8745749;0.87231594;0.8625689;0.8694792;0.9999999;0.85763764;0.8987386;0.8424401;0.86186904;0.8325165;0.8410753;0.8724365;0.865875;0.8417333;0.87341833;0.8511469;0.87707174;0.88455325;0.8309865;0.8735688;0.8190087;0.740854;0.8647762;0.8415209;0.82056177;0.8552909;0.8608638;0.87395257;0.8494427;0.8488573;0.8331402
cs.CR;0.8853578;0.86622775;0.8623921;0.86224586;0.85763764;0.9999999;0.8792784;0.88238525;0.86688435;0.88554484;0.8566301;0.83662355;0.8851423;0.8399935;0.8875441;0.8825704;0.86961347;0.88009375;0.8446845;0.8810417;0.8860793;0.7690214;0.87626815;0.9051218;0.8822564;0.86157423;0.86710495;0.86618215;0.8545489;0.8254835;0.85937655
cs.CV;0.92159307;0.8803112;0.91049105;0.9296219;0.8987386;0.8792784;1.0000001;0.8966124;0.89135516;0.8829576;0.8998815;0.9034687;0.93226343;0.8872237;0.9148675;0.89684135;0.9180872;0.9196329;0.88827085;0.9214753;0.8862858;0.81624746;0.9195592;0.894516;0.87169313;0.90193653;0.91170263;0.9103675;0.8603157;0.8394383;0.88213605
cs.DB;0.88651556;0.9026121;0.87376016;0.87407863;0.8424401;0.88238525;0.8966124;1.0;0.8960396;0.9092114;0.87942374;0.8870179;0.8976817;0.85980797;0.8849182;0.9209472;0.85173815;0.90728754;0.85742205;0.919907;0.8870638;0.8284312;0.88966274;0.9190312;0.89565873;0.9132857;0.8509935;0.8960615;0.8062104;0.83663976;0.8999664
cs.DC;0.88319665;0.8841169;0.8989191;0.8768829;0.86186904;0.86688435;0.89135516;0.8960396;1.0;0.87537295;0.87037957;0.8928076;0.86479264;0.8573242;0.88526344;0.8850122;0.8605082;0.8760004;0.8413589;0.910025;0.84982926;0.81260866;0.87627465;0.9076724;0.8820742;0.911724;0.8721424;0.90566385;0.82334113;0.84623265;0.88307166
cs.DL;0.8499601;0.85958487;0.8345296;0.84540576;0.8325165;0.88554484;0.8829576;0.9092114;0.87537295;1.0;0.8578352;0.83456755;0.8757154;0.8056268;0.86053765;0.9255399;0.8324367;0.87341124;0.8214569;0.8906012;0.9159924;0.7985719;0.849586;0.9127658;0.85802853;0.86430585;0.8472884;0.8673582;0.81977296;0.7916442;0.8726004
